evaluation_id,evaluation_type,training_policy,method,alpha,n_inner_splits,inner_validation_dates,inner_sse_float,inner_mae_float,fit_failure_count,selected
fold_01,rolling_7d,all,decomp_ridge_calendar_vessel_mean,10.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3373.8531800684204,2.683519099929348,0,False
fold_01,rolling_7d,all,decomp_ridge_calendar_vessel_mean,100.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3920.442890914072,2.943991313744874,0,False
fold_01,rolling_7d,all,decomp_ridge_calendar_vessel_mean,1000.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",4020.5488564260513,2.986341339915373,0,False
fold_01,rolling_7d,all,decomp_ridge_calendar_vessel_daytype,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2582.585037462848,2.1824428940157925,0,True
fold_01,rolling_7d,all,decomp_ridge_calendar_vessel_daytype,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2673.161538005169,2.2627407047998105,0,False
fold_01,rolling_7d,all,decomp_ridge_calendar_vessel_daytype,10.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3417.5861373340877,2.697205693809073,0,False
fold_01,rolling_7d,all,decomp_ridge_calendar_vessel_daytype,100.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3963.332546499222,2.95540633860308,0,False
fold_01,rolling_7d,all,decomp_ridge_calendar_vessel_daytype,1000.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",4063.086189026741,2.9981141402188465,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_mean,0.0001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2582.1685586633876,2.1724319285143534,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_mean,0.001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2582.0699511400558,2.1724173691041577,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_mean,0.01,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2581.0993087246834,2.1722894232479932,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_mean,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2572.5092428001885,2.171130483861044,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_mean,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2547.610890723181,2.1858382222235817,0,True
fold_01,rolling_7d,all,decomp_poisson_calendar_daytype,0.0001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2623.7787407048586,2.185221907761305,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_daytype,0.001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2623.6800044656625,2.185220768422663,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_daytype,0.01,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2622.7080324091266,2.1852112903414533,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_daytype,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2614.109510886712,2.1855864157409224,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_daytype,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2589.360663823818,2.2015805244336644,0,True
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_mean,0.0001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2582.2075637469948,2.1727671476320594,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_mean,0.001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2582.086665196735,2.172743777388215,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_mean,0.01,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2580.900398281,2.172514010033215,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_mean,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2570.370295161548,2.1703392574742,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_mean,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2535.073642286776,2.171575823947537,0,True
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_daytype,0.0001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2616.0854689130547,2.1827031564328667,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_daytype,0.001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2615.9658459837015,2.1826913586772005,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_daytype,0.01,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2614.792062176081,2.1825763830220857,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_daytype,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2604.386676086196,2.1819486652118707,0,False
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_daytype,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2570.271312959261,2.186792313996124,0,True
